dataset,call_id,emotion_true,emotion_pred,confidence,duration,transcript,emotion,split
IEMOCAP,iemocap_Ses01M_script02_2_M051,neutral,disgust,0.439,4.69,Are you cold? Do you want to go home?,neutral,val
IEMOCAP,iemocap_Ses01M_script02_2_M054,neutral,neutral,0.91,2.69,Good night.,neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_F000,neutral,disgust,0.437,2.06,Do you think it's them?,neutral,val
IEMOCAP,iemocap_Ses01M_script03_1_F001,fear,neutral,0.831,4.08,"Frieda's the only one who knows we're here, she wouldn't ring up.",fear,train
IEMOCAP,iemocap_Ses01M_script03_1_F002,fear,neutral,0.8320000000000001,3.36,하.. 불 Also已經成지,fear,train
IEMOCAP,iemocap_Ses01M_script03_1_F005,neutral,anger,0.853,5.35,"Oh, oh, that's a shiver that my spine.",neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_F006,neutral,neutral,0.683,1.55,Aye,neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_F012,neutral,sadness,0.818,3.31,The pity is that one can't stay happy.,neutral,val
IEMOCAP,iemocap_Ses01M_script03_1_F013,neutral,disgust,0.763,3.43,It's true! I think the whole thing is a very poor joke.,neutral,val
IEMOCAP,iemocap_Ses01M_script03_1_F016,neutral,neutral,0.931,2.0,"Oh, who's there?",neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_F020,neutral,anger,0.403,3.37,"Oh, we like that.",neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_F022,neutral,anger,0.348,2.49,Does the one that's left still have?,neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_F023,neutral,anger,0.329,3.0,So that's serious enough isn't it?,neutral,test
IEMOCAP,iemocap_Ses01M_script03_1_F025,neutral,neutral,0.857,1.36,Hmm.,neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_F026,neutral,disgust,0.434,2.92,Oh,neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_F027,neutral,anger,0.493,4.79,"Oh, Elliot. Worms don't pop.",neutral,val
IEMOCAP,iemocap_Ses01M_script03_1_F028,neutral,joy,0.599,2.6,"Oh, thank you darling.",neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_F029,neutral,neutral,0.8879999999999999,6.83,"The same applies to you too. Except if you so much as look at another woman, I'll kill you.",neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_F032,neutral,anger,0.508,6.48,"Oh, I know you threw about the window to the grand canal. Oh, I'll never forgive you for that.",neutral,test
IEMOCAP,iemocap_Ses01M_script03_1_F033,neutral,neutral,0.754,3.28,"It went on intermittent, liver days.",neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_F035,neutral,neutral,0.583,4.32,"Oh, it put my comb to and all those tiles in the bathroom",neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_M000,fear,neutral,0.87,1.8,You Really Clean??,fear,test
IEMOCAP,iemocap_Ses01M_script03_1_M001,fear,neutral,0.979,2.34,I wonder.,fear,train
IEMOCAP,iemocap_Ses01M_script03_1_M002,neutral,neutral,0.671,2.09,Mas Burnowi.,neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_M003,fear,neutral,0.5,3.89,"We're okay, right? Darling, whatever happens, you're okay?",fear,train
IEMOCAP,iemocap_Ses01M_script03_1_M005,neutral,neutral,0.8335,10.38,"Yes. Hello. Hello. I'm sorry, what's that?",neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_M006,neutral,anger,0.442,2.29,"No, it's a wrong number.",neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_M007,neutral,neutral,0.0,1.6,,neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_M008,neutral,neutral,0.0,1.18,,neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_M009,neutral,neutral,0.5,2.98,What shall we do if they suddenly walk in on us?,neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_M014,sadness,anger,0.64,2.31,"Darling, don't say that.",sadness,test
IEMOCAP,iemocap_Ses01M_script03_1_M015,neutral,neutral,0.805,3.8,What? The sacred and beautiful thing? Love?,neutral,val
IEMOCAP,iemocap_Ses01M_script03_1_M018,neutral,disgust,0.407,5.54,"Now you know all those superficial philosophers must laugh at them, be flippant.",neutral,test
IEMOCAP,iemocap_Ses01M_script03_1_M020,neutral,neutral,0.571,1.14,Oh yes!,neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_M023,neutral,neutral,0.7585,5.68,"Um, no. That will fade. Hmph. Along with our passions.",neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_M024,neutral,neutral,0.956,3.49,"Oh, it depends on how well we played.",neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_M025,neutral,neutral,0.7795000000000001,3.49,"Yes. Yes, with all his might.",neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_M026,neutral,anger,0.539,7.99,"No, no, no, death is very laughable. It's a cunning little mystery, you know. It's all done with mirrors.",neutral,test
IEMOCAP,iemocap_Ses01M_script03_1_M027,neutral,neutral,0.934,3.57,So is everyone in the long run?,neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_M032,neutral,anger,0.511,7.9,"You could run off, but all the men in the world, I won't say a word. Just as long as you love me, best.",neutral,test
IEMOCAP,iemocap_Ses01M_script03_1_M034,neutral,anger,0.533,4.88,The one where you put that little wooden painted snake in my bed?,neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_M035,neutral,disgust,0.838,2.62,There was a horrible thing I hated it.,neutral,val
IEMOCAP,iemocap_Ses01M_script03_1_M036,neutral,neutral,0.917,3.74,"Of course, Talon did that row last.",neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_M038,neutral,anger,0.442,2.48,"No, that was a rouse or wasn't it?",neutral,train
IEMOCAP,iemocap_Ses01M_script03_1_M042,neutral,neutral,0.918,6.65,"However, I do believe the real cause of that roul was Peter Burton.",neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_F000,neutral,joy,0.431,3.32,"I'm utterly, utterly ridiculous.",neutral,test
IEMOCAP,iemocap_Ses01M_script03_2_F001,neutral,joy,0.941,2.63,Very much sillier.,neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_F002,neutral,neutral,0.742,4.59,"Oh, you knew there was nothing in that.",neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_F003,neutral,joy,0.746,4.58,Proud! It was a trivial little brooch.,neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_F004,neutral,neutral,0.708,4.64,Not at all. It was very pretty. I still wear it often.,neutral,test
IEMOCAP,iemocap_Ses01M_script03_2_F005,neutral,anger,0.584,4.33,I did not. You were fed holding up in your jealous imagination.,neutral,test
IEMOCAP,iemocap_Ses01M_script03_2_F006,neutral,disgust,0.416,2.29,"Well, whatever.",neutral,val
IEMOCAP,iemocap_Ses01M_script03_2_F007,neutral,joy,0.838,6.11,It gave him a lot a great deal of pleasure and it didn't hurt me.,neutral,test
IEMOCAP,iemocap_Ses01M_script03_2_F008,neutral,anger,0.327,4.83,"If you hadn't been so suspicious and nosy, you'd never know the thing about it!",neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_F009,neutral,sadness,0.716,4.28,I'm bored with this conversation.,neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_F010,neutral,disgust,0.513,2.43,"No, thank you.",neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_F011,anger,joy,0.433,3.75,"I don't see why you want any, you've already had two glasses.",anger,test
IEMOCAP,iemocap_Ses01M_script03_2_F012,neutral,neutral,0.5,6.57,I just think it silly you know to go on and on and on about such a thing.,neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_F013,neutral,disgust,0.512,6.1,I just think it's becoming a habit with you.,neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_F014,neutral,neutral,0.5,2.9,to speak quiet.,neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_F015,anger,anger,0.875,2.76,Don't be stupid what?,anger,train
IEMOCAP,iemocap_Ses01M_script03_2_F016,neutral,neutral,0.813,4.66,"No darling, I'm just making myself fascinating for you.",neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_F017,anger,anger,0.64,6.01,"Oh, that's the woman's duty to lure the man. Watch me a minute, will you?",anger,train
IEMOCAP,iemocap_Ses01M_script03_2_F018,neutral,neutral,0.59,2.31,Oh no it isn't.,neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_F019,neutral,anger,0.928,3.56,Don't be stupid. Shut up.,neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_F020,neutral,anger,0.551,6.22,"Oh, that's funny. It doesn't seem to have worked such wonders with you.",neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_F021,neutral,anger,0.94,2.98,"Adders don't snap, they sting.",neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_F022,anger,disgust,0.953,1.78,They stink!,anger,train
IEMOCAP,iemocap_Ses01M_script03_2_F023,anger,anger,0.703,7.14,I don't care. I don't care do you understand? I don't mind if they buck and they roll about like hoops,anger,test
IEMOCAP,iemocap_Ses01M_script03_2_F024,anger,neutral,0.937,3.07,"Yes, I did quite a lot",anger,train
IEMOCAP,iemocap_Ses01M_script03_2_F025,anger,anger,0.514,2.2,"Oh, mind your own business.",anger,train
IEMOCAP,iemocap_Ses01M_script03_2_F026,anger,anger,0.794,3.75,"You're quite insufferable, I expect it's because you're drunk.",anger,train
IEMOCAP,iemocap_Ses01M_script03_2_F027,anger,neutral,0.771,2.45,You always had a weak head.,anger,val
IEMOCAP,iemocap_Ses01M_script03_2_F028,anger,anger,0.671,6.1,"Of the contrary, a childhood two could get violently drunk on only one glass of brandy.",anger,train
IEMOCAP,iemocap_Ses01M_script03_2_F029,anger,anger,0.935,2.0,Shut up.,anger,train
IEMOCAP,iemocap_Ses01M_script03_2_F030,anger,neutral,0.752,3.51,Not very funny darling. Why don't you have some more brandy?,anger,val
IEMOCAP,iemocap_Ses01M_script03_2_F031,anger,neutral,0.81,1.22,please. Why?,anger,test
IEMOCAP,iemocap_Ses01M_script03_2_F032,neutral,neutral,0.669,3.91,There are no people upstairs. It's a photographer studio.,neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_F033,anger,neutral,0.835,2.53,Bear away into it east.,anger,train
IEMOCAP,iemocap_Ses01M_script03_2_F034,anger,neutral,0.701,2.83,Turn it on again please.,anger,train
IEMOCAP,iemocap_Ses01M_script03_2_F035,anger,anger,0.369,5.01,Very well if you insist on being burish and idiotic.,anger,train
IEMOCAP,iemocap_Ses01M_script03_2_F036,anger,neutral,0.5,1.66,I won't learn.,anger,train
IEMOCAP,iemocap_Ses01M_script03_2_F037,anger,anger,0.823,2.59,"Stop it. No, go away",anger,test
IEMOCAP,iemocap_Ses01M_script03_2_F038,anger,anger,0.715,5.17,"Let me- Oh, I'm sick and tired of listening to you, you damn sadistic bully!",anger,train
IEMOCAP,iemocap_Ses01M_script03_2_F039,anger,anger,0.757,9.38,"Oh, you're cruel, you're, I hate you, I hate you, go away! You're, you're conceited, you're overbearing, you're utterly impossible.",anger,test
IEMOCAP,iemocap_Ses01M_script03_2_F040,anger,anger,0.504,4.9,This is the end. Do you hear me? Finally and forever.,anger,train
IEMOCAP,iemocap_Ses01M_script03_2_F041,anger,anger,0.79,18.92,"Oh, yes I am. Oh, yes I am. Let go of me! You let go! You're a cruel thing! I loved and I hate you! Mary will get help! Never, never, never, never! I hope you die in torment! You BAST!",anger,train
IEMOCAP,iemocap_Ses01M_script03_2_M000,neutral,neutral,0.962,1.68,hello,neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_M001,neutral,neutral,0.831,1.87,I'm very much young today.,neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_M002,neutral,neutral,0.766,2.13,I feel like you're...,neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_M003,neutral,neutral,0.909,5.31,"However, I do believe the real cause of that row was Peter Burton.",neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_M004,neutral,disgust,0.4659999999999999,4.81,I knew nothing of the sort. You took presents from him.,neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_M005,neutral,disgust,0.978,3.88,It was bristling with diamonds in the worst possible taste.,neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_M006,neutral,anger,0.7115,5.82,You went out of your way to torture me over Peter Verden. I did.,neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_M007,neutral,neutral,0.7965,5.29,Wow You let him kiss you you said you did,neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_M008,neutral,sadness,0.426,2.27,What are they?,neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_M009,neutral,neutral,0.505,3.11,and what about me?,neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_M010,neutral,joy,0.909,3.31,"Oh, that's a nice point of view I must say.",neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_M011,neutral,neutral,0.6533333333333333,7.03,So am I. And Bored Stiff. You want some brandy?,neutral,test
IEMOCAP,iemocap_Ses01M_script03_2_M012,neutral,neutral,0.917,3.37,"I'll have a little, I think.",neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_M013,neutral,disgust,0.7150000000000001,6.2,"Oh, you know, no particular reason. Besides, there are very small classes.",neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_M014,neutral,anger,0.426,8.23,You can hardly call three glasses of liquor in a whole evening going on and on and on.,neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_M015,neutral,neutral,0.729,6.64,"Ah, hmm. Well, you needn't be so grand, just because you don't happen in what needs a moment, okay?",neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_M016,anger,neutral,0.658,1.94,"Really, Amanda.",anger,train
IEMOCAP,iemocap_Ses01M_script03_2_M017,anger,sadness,0.583,3.37,Nothing.,anger,train
IEMOCAP,iemocap_Ses01M_script03_2_M018,neutral,anger,0.39,2.78,"Are you going out somewhere, dude?",neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_M019,neutral,sadness,0.94,3.89,Hmm that reply has broken my heart,neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_M020,neutral,neutral,0.946,5.05,Hmm. As a matter of fact that's perfectly true.,neutral,test
IEMOCAP,iemocap_Ses01M_script03_2_M021,neutral,neutral,0.902,2.31,"Yes, and hands.",neutral,train
IEMOCAP,iemocap_Ses01M_script03_2_M022,anger,anger,0.369,6.52,"You know, it's a pity you didn't have any more brandy. What it made you just a little less disagreeable.",anger,train
IEMOCAP,iemocap_Ses01M_script03_2_M023,anger,anger,0.959,5.15,"You know what? You're snapped, you snap, you snap, you're like a little adder.",anger,train
IEMOCAP,iemocap_Ses01M_script03_2_M024,anger,anger,0.937,5.65,nonsense. They have a bag of venom behind their fangs and they snap.,anger,train
IEMOCAP,iemocap_Ses01M_script03_2_M025,anger,anger,0.4875,3.74,Did you see much of Peter Burton after on divorce? Yes!,anger,train
IEMOCAP,iemocap_Ses01M_script03_2_M026,anger,neutral,0.882,3.92,I suppose you let him just kiss you a good deal more than,anger,test
IEMOCAP,iemocap_Ses01M_script03_2_M027,anger,anger,0.394,6.66,"I suppose you two had a riotous time, huh? No restraint at all very enjoyable. He never had much anyhow",anger,train
IEMOCAP,iemocap_Ses01M_script03_2_M028,anger,anger,0.63,2.82,I am not in the least bitten drug,anger,test
IEMOCAP,iemocap_Ses01M_script03_2_M029,anger,neutral,0.6635,9.23,I think I told you once before that I've had three minute liquor glasses the whole evening long Child of two can I get drunk on that,anger,train
IEMOCAP,iemocap_Ses01M_script03_2_M030,anger,neutral,0.8140000000000001,12.46,"Oh, very very interesting Amanda. How about a child of four? Six, or maybe nine. You know we could work up a splendid little debate about it, you know? Intemperate tots",anger,train
IEMOCAP,iemocap_Ses01M_script03_2_M031,anger,joy,0.686,3.35,"That's a very good idea, I think I will.",anger,train
IEMOCAP,iemocap_Ses01M_script03_2_M032,anger,anger,0.6496666666666667,5.82,Would you turn that off please? Why? You're gonna wake the people upstairs.,anger,test
IEMOCAP,iemocap_Ses01M_script03_2_M033,anger,neutral,0.745,2.55,And then you'll wake the people downstairs.,anger,train
IEMOCAP,iemocap_Ses01M_script03_2_M034,anger,neutral,0.853,3.17,This is no time of year for two needs.,anger,test
IEMOCAP,iemocap_Ses01M_script03_2_M035,anger,anger,0.778,3.0,I will do another thing.,anger,train
IEMOCAP,iemocap_Ses01M_script03_2_M036,anger,neutral,0.5,3.84,Turn it off. It's driving me mad.,anger,train
IEMOCAP,iemocap_Ses01M_script03_2_M037,anger,neutral,0.652,3.56,Turn it off.,anger,train
IEMOCAP,iemocap_Ses01M_script03_2_M038,anger,anger,0.556,2.08,"I mean, listen. Listen.",anger,train
IEMOCAP,iemocap_Ses01M_script03_2_M039,anger,joy,0.871,2.16,That's very amusing indeed,anger,train
IEMOCAP,iemocap_Ses01M_script03_2_M040,anger,anger,0.645,7.58,"You're conceited, you're all bearing your evil mind in itself. So centered little wench, I never want to see you again.",anger,test
IEMOCAP,iemocap_Ses01M_script03_2_M041,anger,disgust,0.344,2.29,I'm not going like this.,anger,val
IEMOCAP,iemocap_Ses01M_script03_2_M042,anger,neutral,0.675,1.72,"No, you're not.",anger,train
IEMOCAP,iemocap_Ses01M_script03_2_M043,anger,anger,0.7896000000000001,14.25,Shut up! Shut up! You are... You are... I would marry you again if you came crawling back to me on a bending knee. You are an evil temple to no vampire! And I never want to see you again as long as I live!,anger,test
IEMOCAP,iemocap_Ses02F_impro01_F000,neutral,neutral,0.649,4.25,"Hi, excuse me. I'd like to put in this application for my registration",neutral,train
IEMOCAP,iemocap_Ses02F_impro01_F001,neutral,disgust,0.435,3.29,my original poster to forget but I don't carry that with me.,neutral,train
IEMOCAP,iemocap_Ses02F_impro01_F002,neutral,neutral,0.919,2.65,"Well, I have my driver's license in that work.",neutral,val
IEMOCAP,iemocap_Ses02F_impro01_F003,anger,neutral,0.855,2.12,"No, well, it doesn't say it on the form.",anger,train
IEMOCAP,iemocap_Ses02F_impro01_F004,anger,neutral,0.942,4.98,"I mean, it just says that you need some form of identification, but it doesn't say what kind of identification.",anger,train
IEMOCAP,iemocap_Ses02F_impro01_F005,anger,neutral,0.54,2.28,"I mean, if I had known I would have brought it.",anger,test
IEMOCAP,iemocap_Ses02F_impro01_F006,anger,joy,0.5025000000000001,5.0,"Look, I've been waiting in line for a really long time. I mean, you've seen how long it is.",anger,train
IEMOCAP,iemocap_Ses02F_impro01_F007,anger,neutral,0.678,1.92,It's lunch hour!,anger,train
IEMOCAP,iemocap_Ses02F_impro01_F008,anger,joy,0.368,9.16,"Well, no, I mean, I don't carry my original documents with me because if those things get destroyed, then what do you know what I mean? Like, if I lose my wallet or something, I'll never have them again.",anger,test
IEMOCAP,iemocap_Ses02F_impro01_F009,anger,neutral,0.889,5.38,I have my passport and I have my driver's license. That's all I have.,anger,train
IEMOCAP,iemocap_Ses02F_impro01_F010,anger,neutral,0.6185,9.64,"But isn't there anything you can do? I mean, can you make an exception this one time? My picture is on both of those identifications. It's not like you don't know that it's me.",anger,train
IEMOCAP,iemocap_Ses02F_impro01_F011,anger,neutral,0.66,1.7,and I can give my socials for you.,anger,train
IEMOCAP,iemocap_Ses02F_impro01_F012,anger,joy,0.528,3.24,I can give you my social security number.,anger,train
IEMOCAP,iemocap_Ses02F_impro01_F013,anger,neutral,0.8009999999999999,5.84,"No, it's not. And I could tell you where I was born and what time and by who and what day.",anger,train
IEMOCAP,iemocap_Ses02F_impro01_F014,anger,sadness,0.9215,8.3,"I can't, I have to go back to work. I don't have time to go back to my house and get all of that stuff and then get back in line and wait for another 45 minutes.",anger,train
IEMOCAP,iemocap_Ses02F_impro01_F015,anger,sadness,0.851,7.92,I'm here. I have kids. I have to take them places on the weekends. I don't have time to come back here. Please I really need you to help me,anger,train
IEMOCAP,iemocap_Ses02F_impro01_F016,anger,neutral,0.753,10.08,Whoa. I just don't... I'm sorry that I'm standing here but I can't leave.,anger,train
IEMOCAP,iemocap_Ses02F_impro01_F017,anger,sadness,0.867,5.16,"I really need this done today, so you can see the deadline is almost up and I can't come back. David.",anger,train
IEMOCAP,iemocap_Ses02F_impro01_F018,anger,joy,0.409,5.71,Why didn't the DFA put that you needed your birth certificate on the application then?,anger,train
IEMOCAP,iemocap_Ses02F_impro01_F019,anger,joy,0.5579999999999999,5.22,"Yeah, but your brush doesn't forget, I mean, who carries around their brush certificate? Nobody does that. I'm coming.",anger,test
IEMOCAP,iemocap_Ses02F_impro01_F020,anger,neutral,0.959,4.2,"With your driver's license and your passport, just like everybody else.",anger,train
IEMOCAP,iemocap_Ses02F_impro01_F021,anger,neutral,0.7806666666666667,10.21,something for them. You always use your driver's license. I mean you're not coming to the DMV if you're not on over 16 and that's when you get your driver's license so you're never gonna need it anyway.,anger,train
IEMOCAP,iemocap_Ses02F_impro01_F022,anger,disgust,0.423,2.22,Do you have a supervisor?,anger,train
IEMOCAP,iemocap_Ses02F_impro01_F023,anger,disgust,0.502,5.26,"Well, thank you very much. You've been very helpful.",anger,train
IEMOCAP,iemocap_Ses02F_impro01_M000,neutral,neutral,0.869,1.43,Hi. Hi.,neutral,val
IEMOCAP,iemocap_Ses02F_impro01_M001,neutral,sadness,0.6749999999999999,6.1,"Okay, let me see here. We need, we need your original birth certificate.",neutral,train
IEMOCAP,iemocap_Ses02F_impro01_M002,neutral,neutral,0.927,2.69,"Right, well, we still need it.",neutral,test
IEMOCAP,iemocap_Ses02F_impro01_M003,neutral,neutral,0.615,6.41,"No, no, no. No one told you that you needed your real adversity.",neutral,train
IEMOCAP,iemocap_Ses02F_impro01_M004,neutral,neutral,0.5,1.46,"Oh, I'm sorry.",neutral,train
IEMOCAP,iemocap_Ses02F_impro01_M005,anger,disgust,0.354,4.65,"Okay, I'm sorry, but I can't help you. You're gonna have to go back and",anger,train
IEMOCAP,iemocap_Ses02F_impro01_M006,anger,neutral,0.945,1.9,"Right, this DMV.",anger,train
IEMOCAP,iemocap_Ses02F_impro01_M007,anger,disgust,0.6675,5.88,I know it gets a lot but I can't do anything without you. Do you have Social Security card maybe?,anger,train
IEMOCAP,iemocap_Ses02F_impro01_M008,anger,neutral,0.5,1.98,"Alright, I don't know what to tell you guys.",anger,test
IEMOCAP,iemocap_Ses02F_impro01_M009,anger,neutral,0.923,6.95,I think you're just gonna have to go get them and then you can come back and then we'll help you out maybe,anger,train
IEMOCAP,iemocap_Ses02F_impro01_M010,anger,sadness,0.851,1.19,I can't.,anger,train
IEMOCAP,iemocap_Ses02F_impro01_M011,anger,neutral,0.6799999999999999,9.07,"I make an exception for you and I have to make an exception for everyone. I mean, I've seen this before and I know it's frustrating, but there's nothing I can do.",anger,train
IEMOCAP,iemocap_Ses02F_impro01_M012,anger,disgust,0.431,1.57,"No, it's...",anger,test
IEMOCAP,iemocap_Ses02F_impro01_M013,anger,anger,0.372,6.41,"Okay, but how do what that that's not proof to me? How do I know that you know that but it's really you I need",anger,train
IEMOCAP,iemocap_Ses02F_impro01_M014,anger,neutral,0.936,5.93,"Well, the weekends are not as busy, maybe you can come and try to get here early on the",anger,train
IEMOCAP,iemocap_Ses02F_impro01_M015,anger,sadness,0.923,3.5,I can't. There's nothing I can do. I'm sorry.,anger,val
IEMOCAP,iemocap_Ses02F_impro01_M016,neutral,neutral,0.842,1.54,The line.,neutral,train
IEMOCAP,iemocap_Ses02F_impro01_M017,anger,anger,0.57,5.1,"Okay, but you right now you're holding up more people in line by standing here and letting.",anger,train
IEMOCAP,iemocap_Ses02F_impro01_M018,anger,neutral,0.93,5.64,"When you're going to the DMV, usually need pretty professional identification.",anger,train
IEMOCAP,iemocap_Ses02F_impro01_M019,anger,neutral,0.897,2.33,official documentation.,anger,test
IEMOCAP,iemocap_Ses02F_impro01_M020,anger,neutral,0.774,5.53,No one but you come in I you come into the DMV. It's something you should you should have figured,anger,test
IEMOCAP,iemocap_Ses02F_impro01_M021,anger,neutral,0.6839999999999999,6.38,"But without your drug, where, what about your identification without the drug result? I mean, you need, you needed something before then.",anger,train
IEMOCAP,iemocap_Ses02F_impro01_M022,anger,sadness,0.87,4.93,"Alright, well, you know, I'd love to help you, but nothing I can do.",anger,train
IEMOCAP,iemocap_Ses02F_impro01_M023,anger,neutral,0.8690000000000001,8.35,"So if you want to go get your birth certificate, maybe come back, maybe you can talk to the person in the front of the line, maybe I don't know.",anger,val
IEMOCAP,iemocap_Ses02F_impro01_M024,anger,disgust,0.607,3.69,I am the supervisor. So...,anger,train
IEMOCAP,iemocap_Ses02F_impro02_F000,sadness,neutral,0.645,3.0,It's almost time for me to go.,sadness,train
IEMOCAP,iemocap_Ses02F_impro02_F001,sadness,disgust,0.449,6.02,"There's nothing I can do. I mean, the government, you know, I'm a...",sadness,val
IEMOCAP,iemocap_Ses02F_impro02_F002,sadness,disgust,0.681,7.28,"You're gonna have to. I mean, you're a great father. You can do it. I know you can.",sadness,train
IEMOCAP,iemocap_Ses02F_impro02_F003,sadness,neutral,0.749,2.6,I don't think so.,sadness,train
IEMOCAP,iemocap_Ses02F_impro02_F004,sadness,neutral,0.97,12.18,"Well, we could do the best we can and with wireless internet these days, I think that we could probably talk every once in a while.",sadness,test
IEMOCAP,iemocap_Ses02F_impro02_F005,sadness,neutral,0.699,3.12,You could tell me pictures.,sadness,train
IEMOCAP,iemocap_Ses02F_impro02_F006,sadness,disgust,0.389,6.83,"They're not gonna let you, if you have to stay home and I have to go, I mean that's it.",sadness,train
IEMOCAP,iemocap_Ses02F_impro02_F007,sadness,disgust,0.6365,11.95,"And I mean, and my daughter, I don't want to put her in danger, you know? She has to say.",sadness,train
IEMOCAP,iemocap_Ses02F_impro02_F008,sadness,neutral,0.7035,11.2,"They know, but she needs to be safe more. She needs to be around kids her age on age. She needs to be able to play on a street and...",sadness,train
IEMOCAP,iemocap_Ses02F_impro02_F009,sadness,neutral,0.937,4.05,You can just remember it for me.,sadness,train
IEMOCAP,iemocap_Ses02F_impro02_F010,sadness,disgust,0.445,7.82,I need you to be able to do this for me because I can't do anything about it.,sadness,train
IEMOCAP,iemocap_Ses02F_impro02_F011,sadness,disgust,0.34,8.23,"I mean, it's just as hard for me, but I know that we can do it, you know?",sadness,test
IEMOCAP,iemocap_Ses02F_impro02_F012,sadness,fear,0.758,6.29,I don't want you in danger and I don't want her to hurt you.,sadness,test
IEMOCAP,iemocap_Ses02F_impro02_F013,sadness,sadness,0.8485,13.11,I have no choice. There's nothing I can do.,sadness,train
IEMOCAP,iemocap_Ses02F_impro02_M000,neutral,neutral,0.6815,7.26,"I can't believe it. Now, are you sure this is absolutely necessary?",neutral,train
IEMOCAP,iemocap_Ses02F_impro02_M001,anger,disgust,0.381,6.82,What are we gonna do here? I can't do this by myself.,anger,train
IEMOCAP,iemocap_Ses02F_impro02_M002,anger,neutral,0.7063333333333334,9.94,"But I'm nothing. I'm nothing without you here, I mean. Maybe we can... We could get out of this somehow.",anger,train
IEMOCAP,iemocap_Ses02F_impro02_M003,anger,disgust,0.5315000000000001,14.18,"Well, come on, we've got to think of something. A year away, it's going to tear us apart. I don't even want to think about it. I don't even know if I'll be able to get in touch with you or...",anger,train
IEMOCAP,iemocap_Ses02F_impro02_M004,neutral,disgust,0.431,2.85,It's not gonna be the same.,neutral,train
IEMOCAP,iemocap_Ses02F_impro02_M005,anger,disgust,0.324,8.79,What if maybe what if we went somewhere over there? I don't know I I need to figure something out for this because,anger,train
IEMOCAP,iemocap_Ses02F_impro02_M006,anger,disgust,0.437,6.35,"This is gonna be a, you know, crucial, yeah, she's growing up, she's gonna need you.",anger,train
IEMOCAP,iemocap_Ses02F_impro02_M007,sadness,disgust,0.5589999999999999,13.5,But she's got you're not gonna you're not gonna be here for for first words for for steps I mean something that you're supposed to be here for that,sadness,train
